Section,Category,Item,Description
Geographical,Peninsulas,Apennine Peninsula (Italian Peninsula),"Located in the south of Europe, the Apennine Peninsula contains the states of Italy, San Marino, and Vatican City"
Geographical,Peninsulas,Balkan Peninsula,"The Balkan Peninsula is located in Southeastern Europe and the following countries and territories occupy land on the peninsula either exclusively or partially: Albania, Bosnia and Herzegovina, Bulgaria, Croatia (approximately the southern half), Greece, Kosovo, Montenegro, North Macedonia, Romania (the Dobrudja region), Serbia, Slovenia (the coastal section), and Turkey (East Thrace)"
Geographical,Peninsulas,Fennoscandian Peninsula,"Located in the north of Europe, including Finland, Norway, Sweden, and part of Russia"
Geographical,Peninsulas,Iberian Peninsula,"Located in Southwestern Europe, this peninsula contains Andorra, Gibraltar, Portugal, Spain, and a small part of France"
Geographical,Peninsulas,Jutland Peninsula,Jutland of Denmark (main part of the country excluding its islands) and the Schleswig-Holstein region of Germany
Geographical,Peninsulas,Scandinavian Peninsula,"Located in the north of Europe, including Norway, Sweden, and part of Finland"
Geographical,Regional,Atlantic Europe,"United Kingdom, Ireland, Iceland, Belgium, the Netherlands, Portugal, Spain, France, western Scandinavia and Germany."
Geographical,Regional,Alpine countries,"States that occupy the Alps: Austria, Switzerland, Liechtenstein, Slovenia, Germany, France, and Italy"
Geographical,Regional,"United Kingdom , Ireland , Iceland , Belgium , the Netherlands , Portugal , Spain , France , western Scandinavia and Germany .","In its broadest sense, encompasses Albania, Bosnia and Hercegovina, Bulgaria, Croatia, Greece, Hungary, Kosovo, Moldova, Montenegro, North Macedonia, Romania, Serbia, Slovenia and European Turkey"
Geographical,Regional,Balkans region,"The term Baltic states emerged after World War I referring to the new sovereign states that emerged on the east coast of the Baltic Sea: Finland, Estonia, Latvia, and Lithuania. Since World War II, the term has been used for just Estonia, Latvia, and Lithuania.[7]"
Geographical,Regional,Baltic Rim region,"Guernsey, The Isle of Man, the Republic of Ireland, Jersey and the United Kingdom"
Geographical,Regional,Baltic states,"Czech Republic, Hungary, Poland, Romania, Serbia, Slovakia, and Ukraine"
Geographical,Regional,British Isles,"Armenia, Azerbaijan, Georgia, and Russia; also the disputed territories of Abkhazia, and South Ossetia"
Geographical,Regional,Carpathian states,Guernsey and Jersey
Geographical,Regional,Caucasus,"Belgium, Luxembourg, the Netherlands, parts of France, and parts of Germany. Benelux: Belgium, the Netherlands, and Luxembourg"
Geographical,Regional,Channel Islands,"Sweden, Norway, Finland, Denmark, Greenland, and Iceland. Scandinavia: Sweden, Norway, Denmark, Fennoscandia: Finland, Sweden, Norway and Karelia; a geological region defined by the Fennoscandian"
Geographical,Regional,Low Countries,"States that lie along the River Danube: Austria, Bulgaria, Croatia, Germany, Hungary, Moldova, Romania, Serbia, Slovakia, and Ukraine"
Geographical,Regional,Benelux,"Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, Albania, Serbia, Kosovo and Italy occupy a small portion of the Dinaric Alps.[citation needed]"
Geographical,Regional,Nordic countries,"Chain of Islands in the North Atlantic: Azores, Canary Islands, Madeira; also including Cape Verde, an independent African nation"
Geographical,Regional,Scandinavia,"Mediterranean nations are European countries on the Mediterranean Basin: Portugal, Spain, France, Monaco, Italy, Slovenia, San Marino, Croatia, Bosnia and Herzegovina, Montenegro, Albania, Greece, Turkey, Cyprus, Malta, and the British territory of Gibraltar. Adriatic region: Italy, Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, Albania"
Geographical,Regional,Fennoscandia,"The Black Sea nations (although some sections lie within Asia) are: Abkhazia (de facto state), Bulgaria, Georgia, Romania, Russia, Turkey, and Ukraine"
Geographical,Regional,Danubian countries,"The world's largest lake which forms a section of the Asian-European border has five countries occupying its shore. Iran and Turkmenistan lie entirely within Asia while the following countries are transcontinental and have sovereignty over the Caspian Sea's European sector: Azerbaijan, Kazakhstan, and Russia"
Geographical,Regional,Dinaric Alps,"Blue Banana: describing the concentration of the wealth/economic productivity of Europe in a banana-shaped band running from north west England, London, through Benelux, eastern France, western Germany to northern Italy."
Geographical,Regional,Macaronesia,
Geographical,Regional,Mediterranean countries,
Geographical,Regional,Adriatic region,"Italy , Slovenia , Croatia , Bosnia and Herzegovina , Montenegro , Albania [ citation needed ]"
Geographical,Regional,Black Sea region,
Geographical,Regional,Caspian Sea region,
