Country/Region,Official language(s),National language(s),Regional language(s),Minority language(s),Widely spoken
Abkhazia[a],Abkhaz Russian,Abkhaz,,Georgian,
Afghanistan[1][2][3],Persian (Dari) Pashto,Persian (Dari) Pashto,Uzbek[b] Turkmen[b] Pashayi[b] Nuristani[b] Balochi[b] Pamiri[b],,Persian (Dari)
Albania[4],Albanian,,,Greek Macedonian Aromanian,Italian
Algeria[5],Arabic Berber,Arabic Berber,,,French
Andorra,Catalan[6],,,Spanish French Portuguese,
Angola[7],Portuguese,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela[citation needed],,,Angolan Portuguese
Antigua and Barbuda,(English has de facto status) Spanish,,,,Antiguan and Barbudan Creole
Argentina,None at federal level (Spanish has de facto status) Argentine Sign Language[8],,Spanish (in Corrientes and Chaco)[9][10] Guaraní (in Corrientes)[9] Kom (in Chaco)[10] Moquoit (in Chaco)[10] Wichi (in Chaco)[10],,Argentine Spanish English Italian German French Welsh (in Chubut state)[11]
Armenia,Armenian,Armenian (state language)[12],,,Russian
Australia,None (English has de facto status),,Cocos Malay (on Cocos (Keeling) Islands) English (official status on Norfolk Island) Malay (on Christmas Island) Mandarin Chinese (on Christmas Island) Norfuk (on Norfolk Island),,
Austria[13][14],German,German (state language),Burgenland Croatian (parts of Burgenland) Hungarian (parts of Burgenland) Slovene (parts of Carinthia),Slovene Czech Hungarian Slovak Romani Serbian,English
Azerbaijan,Azerbaijani,Azerbaijani (state language)[15],,,Russian
Bahamas,English,,,,
Bahrain,Arabic,,,English,
Bangladesh,Bengali,Bengali,Sylheti (parts of Sylhet Division) Chittagonian (parts of Chittagong Division) Rangpuri/Kamtapuri (parts of Rangpur Division),Chakma Marma Rakhine Hajong Santali Tripuri Manipuri,
Barbados,English,,,,
Belarus,Belarusian Russian,Belarusian,,,Russian
Belgium,Dutch French German,,"Dutch (Flanders, Brussels)[16] French (Brussels, Wallonia)[16] German (German-speaking community)[16]",,English
Belize,English,,,Garifuna,Kriol (lingua franca) Spanish (border with Mexico and Guatemala)
Benin,French,,,,
Bhutan,Dzongkha,,,,
Bolivia[17],Castilian (Spanish) Aymara Araona Baure Bésiro (Chiquitano) Canichana Cavineña Cayubaba Chácobo Chimán Ese Ejja Guaraní Guarasu'we Guarayu Itonama Leco Machajuyai-Kallawaya Machineri Maropa Mojeño-Ignaciano Mojeño-Trinitario Moré Mosetén Movima Pacawara Puquina Quechua Sirionó Tacana Tapieté Toromona Uru-Chipaya Weenhayek Yaminawa Yuki Yuracaré Zamuco,,,,
Bosnia and Herzegovina,"None (Bosnian, Croatian and Serbian all have de facto status)[18]",,,,
Botswana,English,Tswana,,,Other Bantu languages Several Khoisan languages
Brazil,Portuguese[19],Portuguese,"95 municipalities and 3 Brazilian states have co-official languages, with 61 co-officialized languages.[20] The list can be seen at Languages of Brazil.",,Spanish English French
Brunei,Malay,,,,English Chinese
Bulgaria,Bulgarian,,,,
Burkina Faso,Mooré Bissa Dyula Fula,Working languages: French English [citation needed],,,
Burundi[21][22],French Kirundi English,Kirundi,,,Swahili
Cambodia,Khmer,,,,French English Chinese
Cameroon,English French,,Grassfields languages Beti Fulfulde Sawabantu Hausa Baka Bassa Chadian Arabic Bafia Gbaya Cameroonian Pidgin English Camfranglais Mandara,,
Canada,English (Federal) French (Federal),,Chipewyan (Northwest Territories) Cree (Northwest Territories) Gwich'in (Northwest Territories) Inuinnaqtun (Northwest Territories and Nunavut) Inuktitut (Northwest Territories and Nunavut) Inuvialuktun (Northwest Territories) Mi'kmaq (Nova Scotia) North Slavey (Northwest Territories) South Slavey (Northwest Territories) Tłı̨chǫ (Northwest Territories),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun Mi'kmaq North Slavey South Slavey Tłı̨chǫ,
Cape Verde,Portuguese,Cape Verdean Creole,,,
Central African Republic,French Sango,,,,
Chad,Arabic French,,,,
Chile,Spanish,,Languages of ethnic groups are official in their territories[23],,
China,Standard Chinese,,English (Hong Kong) Portuguese (Macau),Mongolian Uyghur Tibetan Zhuang Kazakh Korean,Other Sinitic languages
Colombia,Spanish,,Languages of ethnic groups are official in their territories[24],,
Comoros,Arabic Comorian French,,,,
Democratic Republic of the Congo,French,Kituba Lingala Swahili Tshiluba,,,
Republic of the Congo,French,,,Lingala Munukutuba,
Cook Islands,English Cook Islands Māori,,,,
Costa Rica,Spanish,,,Indigenous languages[25] Limonese Creole[26],
Croatia,Croatian,Italian (Istria County) Romani (non-territorial) Slovene (non-territorial),Serbian Hungarian Czech Slovak Pannonian Rusyn,,English
Cuba,Spanish,,,,
Cyprus,Greek[27] Turkish[27],Armenian[28] Cypriot Arabic[28],,,English
