,Section,Category,Item,Description,Parent_item
0,Geographical,Peninsulas,Apennine Peninsula (Italian Peninsula),"Located in the south of Europe, the Apennine Peninsula contains the states of Italy , San Marino , and Vatican City",
1,Geographical,Peninsulas,Balkan Peninsula,The Balkan Peninsula is located in Southeastern Europe and the following countries and territories occupy land on the peninsula either exclusively or partially:,
2,Geographical,Peninsulas,Fennoscandian Peninsula,"Located in the north of Europe, including Finland , Norway , Sweden , and part of Russia [ citation needed ]",
3,Geographical,Peninsulas,Iberian Peninsula,"Located in Southwestern Europe, this peninsula contains Andorra , Gibraltar , Portugal , Spain , and a small part of France [ citation needed ]",
4,Geographical,Peninsulas,Jutland Peninsula,Jutland of Denmark (main part of the country excluding its islands) and the Schleswig-Holstein region of Germany [ citation needed ],
5,Geographical,Peninsulas,Scandinavian Peninsula,"Located in the north of Europe, including Norway , Sweden , and part of Finland [ citation needed ]",
6,Geographical,Regional,Atlantic Europe,States that occupy the Alps :,
7,Geographical,Regional,"United Kingdom , Ireland , Iceland , Belgium , the Netherlands , Portugal , Spain , France , western Scandinavia and Germany .",,Atlantic Europe
8,Geographical,Regional,Alpine countries,"Austria , Switzerland , Liechtenstein , Slovenia , Germany , France , and Italy [ citation needed ]",
9,Geographical,Regional,Balkans region,"In its broadest sense, encompasses Albania , Bosnia and Hercegovina , Bulgaria , Croatia , Greece , Hungary , Kosovo , Moldova , Montenegro , North Macedonia , Romania , Serbia , Slovenia and European Turkey",
10,Geographical,Regional,Baltic Rim region,"Denmark , Estonia , Finland , Germany , Latvia , Lithuania , Poland , Russia , and Sweden [ citation needed ] The term Baltic states emerged after World War I referring to the new sovereign states that emerged on the east coast of the Baltic Sea: Finland , Estonia , Latvia , and Lithuania . Since World War II , the term has been used for just Estonia, Latvia, and Lithuania. [ 7 ]",
11,Geographical,Regional,British Isles,"Guernsey , The Isle of Man , the Republic of Ireland , Jersey and the United Kingdom",
12,Geographical,Regional,Carpathian states,"Czech Republic , Hungary , Poland , Romania , Serbia , Slovakia , and Ukraine [ citation needed ]",
13,Geographical,Regional,Caucasus,"Armenia , Azerbaijan , Georgia , and Russia ; also the disputed territories of Abkhazia , and South Ossetia [ citation needed ]",
14,Geographical,Regional,Channel Islands,Guernsey and Jersey,
15,Geographical,Regional,Low Countries,"Belgium , Luxembourg , the Netherlands , parts of France , and parts of Germany [ citation needed ] Benelux : Belgium , the Netherlands , and Luxembourg",
16,Geographical,Regional,Nordic countries,"Sweden , Norway , Finland , Denmark , Greenland , and Iceland [ citation needed ] Scandinavia : Sweden , Norway , Denmark [ citation needed ] Fennoscandia : Finland , Sweden , Norway and Karelia ; a geological region defined by the Fennoscandian shield [ citation needed ]",
17,Geographical,Regional,Danubian countries,States that lie along the River Danube :,
18,Geographical,Regional,Dinaric Alps,"Slovenia , Croatia , Bosnia and Herzegovina , Montenegro , Albania [ citation needed ]",
19,Geographical,Regional,Macaronesia,Chain of Islands in the North Atlantic,
20,Geographical,Regional,Mediterranean countries,Mediterranean nations are European countries on the Mediterranean Basin :,
21,Geographical,Regional,Black Sea region,The Black Sea nations (although some sections lie within Asia) are:,
22,Geographical,Regional,Caspian Sea region,The world's largest lake which forms a section of the Asian-European border has five countries occupying its shore. Iran and Turkmenistan lie entirely within Asia while the following countries are transcontinental and have sovereignty over the Caspian Sea's European sector:,
