STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2014,,85.2,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2015,,85.6,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2016,,83.4,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2017,,79.1,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2018,,74.6,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2019,,71.0,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2020,,83.2,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2021,,82.4,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2022,,78.1,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2023,,77.8,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2024,,80.0,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,AT,Austria,2025,,81.5,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2014,,106.6,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2015,,105.7,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2016,,105.8,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2017,,102.6,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2018,,100.2,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2019,,97.7,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2020,,111.4,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2021,,108.7,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2022,,103.3,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2023,,102.5,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2024,,103.9,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BE,Belgium,2025,,107.9,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2014,,27.0,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2015,,25.9,,,,,
dataflow,ESTAT:TEINA225(1.0),General government gross debt - annual data,A,Annual,PC_GDP,Percentage of gross domestic product (GDP),S13,General government,GD,Government consolidated gross debt,BG,Bulgaria,2016,,29.1,,,,,
