STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-01,,119.66,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-02,,119.99,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-03,,121.68,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-04,,121.84,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-05,,122.05,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-06,,122.00,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-07,,121.37,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-08,,121.17,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-09,,121.82,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-10,,121.94,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-11,,121.90,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2015-12,,122.66,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2016-01,,121.32,,,,,
dataflow,ESTAT:PRC_HICP_MIDX(1.0),HICP - monthly data (index) (1996-2025),M,Monthly,I05,"Index, 2005=100",CP00,All-items HICP,AT,Austria,2016-02,,121.22,,,,,
