DATAFLOW,LAST UPDATE,freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2014,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2015,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2016,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2017,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2018,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2019,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2020,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2021,31,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2022,33,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2023,38,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2024,42,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2025,43,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2014,129,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2015,128,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2016,128,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2017,125,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2018,125,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2019,124,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2020,123,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2021,121,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2022,123,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2023,121,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2024,119,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2025,118,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2014,30,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2015,31,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2016,31,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2017,31,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2018,32,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2019,32,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2020,33,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2021,33,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2022,35,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2023,35,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2024,37,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2025,36,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2014,121,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2015,119,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2016,118,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2017,116,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2018,116,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2019,116,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2020,118,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2021,116,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2022,118,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2023,118,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2024,117,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2025,114,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2014,48,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2015,49,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2016,51,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2017,52,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2018,53,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2019,55,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2020,57,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2021,59,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2022,62,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2023,63,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2024,66,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2025,68,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2014,173,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2015,172,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2016,167,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2017,160,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2018,160,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2019,154,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2020,156,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2021,160,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2022,167,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2023,160,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2024,157,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2025,157,p,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2014,80,,
ESTAT:TEC00114(1.0),09/07/26 23:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2015,81,,
