STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2017,,60.3,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2018,,55.7,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2019,,52.8,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2020,,48.1,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2021,,48.7,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2022,,46.4,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AL,Albania,2023,,44.0,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2015,,17.4,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2016,,18.1,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2017,,18.3,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2018,,17.7,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2019,,17.6,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2020,,17.1,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2021,,18.1,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2022,,18.2,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2023,,18.7,,,,,
dataflow,ESTAT:ILC_PEPS01N(1.0),Persons at risk of poverty or social exclusion by age and sex,A,Annual,PC,Percentage,TOTAL,Total,F,Females,AT,Austria,2024,,18.1,,,,,
