DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2014,24835,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2015,25112,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2016,25537,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2017,25793,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2018,26444,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2019,26744,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2020,26778,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2021,29103,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2022,31547,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2023,32639,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,AT,2024,34443,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2014,23730,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2015,23973,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2016,24062,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2017,24575,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2018,25193,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2019,26103,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2020,26675,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2021,27901,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2022,29742,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2023,31962,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BE,2024,33078,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2014,9552,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2015,9909,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2016,10387,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2017,10892,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2018,12009,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2019,12327,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2020,12122,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2021,13469,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,BG,2022,15089,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2014,29034,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2015,29352,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2016,29080,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2017,28453,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2018,28719,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2019,29078,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2020,29624,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2021,30454,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2022,32613,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CH,2023,33971,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2014,16535,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2015,16807,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2016,17982,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2017,18832,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2018,19579,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2019,21275,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2020,21645,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2021,22388,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2022,23506,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2023,24985,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CY,2024,26693,p,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2014,16331,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2015,16604,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2016,17129,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2017,18485,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2018,19431,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2019,20360,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2020,21003,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2021,21994,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2022,23025,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2023,25023,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2024,25741,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,CZ,2025,27039,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2014,26303,,
ESTAT:TEC00113(1.0),27/07/26 11:00:00,A,PPS_EU27_2020_HAB,PAID,B7G,S14_S15,DE,2015,26696,,
